Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,1208.46,1311.21,1693.98,1900.89,1972.78,2220.1,3268.31,3839.86,3592.32,3500.98,3880.07,3583.46,3757.66,3739.28,3169.08,3312.7,3534.34,3860.45,3903.05,3126.4,3489.97,3883.91,4321.58
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,3941.6,4021.43,4123.51,4376.08,4643.46,5188.36,6055.09,6841.91,6737.86,8147.24,9137.46,9971.65,10633.27,10737.68,11529.96,11899.81,12118.13,12383.15,12669.34,12179.26,12604.05,13365.36,16595.37
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,6623.92,6953.25,7097.22,7415.22,8056.62,9333.12,10028.94,10425.14,10106.21,10389.19,10543.01,11057.11,11085.05,11359.16,11629.12,11175.57,11576.28,11845.7,12173.61,10101.79,11732.9,15296.21,16810.94
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2844.24,3007.19,3205.69,3403.3,3791.87,4336.87,4814.85,4992.82,5094.44,5275.53,6106.01,6467.34,6814.24,7117.54,7683.74,8055.93,8543.33,8831.91,9139.38,9499.57,,,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,19426.33,19809.82,19721.29,19623.03,19361.81,18944.1,18938.24,19119.12,19220.69,16356.09,17980.09,20492.82,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,87184.51,89960.68,89704.22,81398.32,76873.2,75435.62,75466.14,75685.36,76610.65,77295.85,78858.28,81255.11,85231.78,89846.32,84018.33,88940.16,96073.76,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,14821.45,16093.21,20252.24,23792.62,24959.26,26729.32,31244.93,35397.36,32236.54,31105.03,32485.8,28991.93,27797.45,27244.34,23487.22,24715.14,26697.01,29419.89,29419.99,28281.41,32745.84,32048.25,34701.44
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,6637.04,8060.87,9818.57,11749.85,13430.67,15261.8,18466.55,22804.58,19861.7,19960.07,21871.27,19870.8,20133.17,19890.92,17829.7,18575.23,20636.2,23424.48,23664.85,22992.88,26822.51,27226.62,30427.42
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,23628.33,25197.27,30310.36,34106.66,34520.24,36353.88,41640.08,45612.71,41650.37,41572.46,46705.9,43855.85,46298.92,48023.87,41103.26,42136.12,44652.59,47939.28,46805.14,46749.48,51426.75,48717.99,52745.76
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,747.78,749.08,771.37,813.9,852.89,907.82,980.03,1131.64,1164.25,1227.82,1322.73,1418.46,2102.2,2239.11,2409.31,2545.74,2655.73,2755.84,2876.04,2921.74,3062.55,3278.14,3606.42
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,4991.76,4881.14,5016.09,5354.8,5304.13,5677.05,6126.85,6661.47,7109.98,7182.4,7288.5,7054.88,7240.68,7502.12,7724.04,8223.04,7408.09,7833.2,8561.59,7003.47,7668.16,8347.32,8953.9
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,30751.65,33228.69,40458.78,46511.6,48799.83,52027,58487.05,64322.06,58163.28,58041.4,61753.65,58507.51,61191.19,62548.98,53254.86,54664,57610.1,61591.93,59592.98,60836.59,69268.65,67790.05,67967.38
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,2953.25,3085.52,2399.5,2468.44,3903.82,4080.05,4676.08,5053.33,5002.15,5509.57,5859.38,6049.47,6171.3,6533.67,6838.94,7191.07,7513.5,7947.16,8173.34,7167.91,8476.75,10111.25,10716.01
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1904.22,1945.19,2292.32,2827.23,3248.1,3681.29,4192.66,5217.99,4270.86,4958.26,5974.57,6096.09,6044.67,6164.64,4741.5,4481.08,4615.87,4640.31,4530.1,3794.41,4216.25,5023.25,5260.21
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,1007.11,1104.79,1239.87,1425.92,1638.42,1957.82,2456.42,3084.94,3320.3,4012.12,4863.65,5376.6,5881.94,6292.35,6499.96,6592.52,7151.27,7944.76,8171.97,8262.93,9813.48,9916.8,9912.7
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,1316.32,1256.17,1374.57,1570.59,1796.64,2020.91,2354.41,2610.63,2472.22,2955.66,3280.67,3380.96,3380.56,3449.01,3234.23,3284.23,3504.86,3499.78,3529,3254.23,3743.86,4099.08,4258.92
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,3769.37,3796.96,4142.71,4610.32,4882.17,5136.28,5697.9,6523.26,6664.92,7726.92,8893.53,9436.85,9468.68,9695.98,9586.06,9856.67,10454.54,11312.91,11484.34,11487.83,13141.53,12909.92,12927.68
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,1541.93,1786.1,2267.1,2906.98,3602.23,4167.69,5222.84,6206.96,5133.42,6022.63,6785.42,7100.36,7678.79,7307.05,6312.15,6006.37,6111.39,5957.83,6022.63,5738.25,6620.2,7302.24,8479.06
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,11768.2,12862.86,15595.85,18124.8,19222.08,20747,24164.33,26486.98,23198.98,23638.55,26149.06,25096.18,26096.92,26341.08,22579.18,22398.15,23670.81,25255.06,24867.47,23994.93,27409.92,27567.41,29483.44
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,1800.4,2069.85,2328,2600.37,2925.11,3261.51,3497.71,4217.44,4076.23,4546.58,5183.62,5666.22,6141.98,6436.76,6002.11,5941.23,6256.68,6316.47,6203.73,5450.43,6036.45,6476.64,6533.35
Egypt,EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,1327.1,1144.53,1056.94,1016.25,1133.11,1332.34,1586.47,1941.9,2212.22,2509.77,2645.62,3059.14,3088.89,3196.86,3370.38,3331.61,2439.97,2531.2,3017.26,3571.56,3886.72,4295.41,3512.58
